,verdict,claim
7261,False,IMDb is not a website.
7262,True,Birmingham is a city and metropolitan borough.
7263,True,Hinduism has shared textual resources.
7264,True,Cordilleran Ice Sheet is made up mostly of snow.
7265,True,Eurotas (river) is in Greece.
7266,False,Mellila is a Spanish dish.
7267,False,Story of My Life was recorded by a girl band.
7268,True,Syco was founded by Simon Cowell.
7269,False,The Washington Monument is 554.5 ft tall.
7270,False,Muhammad Ali is immune to Parkinson's disease.
7271,True,Kenny Chesney is involved in music.
7272,False,The Office (US) ran for zero seasons.
7273,False,The Premier League Asia Trophy is held biennially in a grave.
7274,False,Caesar is an original play by Orson Welles.
7275,True,Shut Up is a song by Stormzy.
7276,False,Levoamphetamine is exclusively a sedative.
7277,True,Zoey Deutch did not portray Stephanie Fleming in Why Him?
7278,True,Cthulhu is a gigantic Lovecraftian entity worshipped by cultists.
7279,True,China is the world's second largest economy by nominal GDP.
7280,True,The Battle of the Trebia occurred on the left bank of the Trebbia River.
7281,False,"Sacre-Coeur, Paris is a two-part statue."
7282,True,Exit the King is by Eugene Ionesco.
7283,True,A Good Day to Die Hard is a piece of the Die Hard franchise.
7284,False,The United States dollar is not used in the Caribbean.
7285,True,"In the 1994 Rwanda genocide in Rwanda, Hutu extremists were involved."
7286,False,Estelle Getty appeared only in television.
7287,False,Maximum Overdrive is only a 1980 romance film.
7288,True,The English Wikipedia is the English-language edition of Wikipedia.
7289,False,The Fame has sold over 4.5 billion copies.
7290,False,The Tenth Doctor is accompanied by Rose Tyler for The End of Time.
7291,True,Elizabeth of York was someone's niece.
7292,False,George Harrison's first marriage started in 1964.
7293,False,Balibo (film) takes place in Boston only.
7294,True,Chinatown is a film from the United States.
7295,True,Laura Robson is an athlete.
7296,True,Dulquer Salmaan acted in a 2012 film.
7297,False,Sweet Home Alabama is a short film that was written in reply to Neil Young's song Alabama.
7298,True,Akon is a musician.
7299,False,Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen.
7300,False,Hermit crabs belong to the superfamily Hominoidea.
7301,False,The Indian National Congress was founded only before December 1884.
7302,True,The Tenth Doctor appears in at least one episode of Doctor Who.
7303,False,Hezbollah received zero support from Iran.
7304,False,Caesar is an adaptation of an Anton Chekhov play.
7305,True,"The Incredibles 2 is scheduled to be released at 2 p. m. on June 15, 2018."
7306,False,Ian Gillan is a jazz singer.
7307,True,Honeymoon is a collection of music.
7308,False,"Touch My Body is an erotic thriller from the director, Quentin Tarantino."
7309,True,There is a law of chastity in the Church of Jesus Christ of Latter-day Saints.
7310,False,The Chaperone (film) is a American television show.
7311,False,Dark matter is indistinguishable from dark energy.
7312,True,The Burj Khalifa contains elevators.
7313,True,The Danish language is spoken in Spain.
7314,False,Ann Biderman refuses to be a television writer.
7315,True,"Scandal is fronted by someone born on June 26, 1957."
7316,False,Sabbir Khan made his directorial debut in 2001.
7317,True,Jerome Flynn is an English singer.
7318,True,Alan Shepard served in the US Navy.
7319,False,Zoey Deutch is an American frog.
7320,False,Richard Kuklinski is a innocent man.
7321,False,"Babur was born on May 14, 1783."
7322,False,Lyon is only a village.
7323,False,Pulmonary embolism is indicated by high blood oxygen levels.
7324,True,"In The Babe, John Goodman played Babe Ruth."
7325,True,Simon Cowell was a part of a reality show.
7326,True,Clueless (film) was followed by a spin-off television sitcom with the same name.
7327,False,Spider-Man 2 was directed by a nameless robot.
7328,True,Uranium has an atomic number.
7329,False,Sean Gunn has no experience as an actor.
7330,False,Sherilyn Fenn wrote a scathing review about Rude Awakening.
7331,False,The Originals (TV series) began airing on The CW in November of 2013.
7332,False,Practical Magic is based on a 1995 novel by J. K. Rowling.
7333,False,Ice-T began his career as a opera singer in the 1980s.
7334,False,Punch-Drunk Love was produced by Revolution Studios and New Line Cinema in 2008.
7335,True,Tyler Perry is associated with the title comedian.
7336,False,Toy Story 2 was produced by DreamWorks.
7337,True,The Thin Red Line (1998 film) portrays soldiers.
7338,True,Grease's soundtrack sold second-best as album of the year and gained much fame.
7339,False,Little Dorrit was only published in the 1980s.
7340,True,The Boeing 767 is used for transatlantic flights between North America and Europe.
7341,False,Edouard Seguin worked in murdering.
7342,True,Chris Mullin played with a professional baseball team.
7343,True,Reanimation is by American rock band Linkin Park.
7344,True,"The Romani people got to Mid-West Asia approximately 1,000 years ago."
7345,False,Sausage Party is a horror film.
7346,False,"Ghost was reviewed, favorably, by Richard Nixon in 2015."
7347,True,Jed Whedon is the son of a screenwriter.
7348,False,Dan Trachtenberg has refused to host any podcasts.
7349,True,Laura Robson is a Wimbledon Junior Girls' Championship winner.
7350,True,Uganda was ruled by the British.
7351,True,Ted Cruz is a politician and attorney.
7352,False,Tenacious D achieved chart status after its release.
7353,True,NXT Tag Team Championship is a professional wrestling tournament.
7354,True,Annie is a movie.
7355,True,Caesar is Orson Welles's 1937 Julius Caesar adaptation.
7356,False,Sierra Morena is only an idiom.
7357,True,Eurotas (river) is the main river of Laconia.
7358,True,"Gory Guerrero's date of birth was January 11th, 1921."
7359,True,A member of the Grateful Dead was Tom Constanten.
7360,False,Wolfgang Amadeus Mozart never married.
7361,False,Issa Rae bans various content created by people of color.
7362,True,The Cyclades are in a Sea.
7363,True,Pharmacology deals with the elucidation of cellular and organismal function.
7364,True,Qin dynasty introduced several legislation.
7365,False,Keegan-Michael Key played the character of Luther twice.
7366,False,Mike Friedrich is only German.
7367,False,Designated Survivor (TV series) is incapable of being an American political drama.
7368,True,An all-seater stadium is a place for sports.
7369,False,The 66th Primetime Emmy Awards was hosted by the host of The Tonight Show.
7370,True,Jon Hamm received eight Primetime Emmy Award nominations.
7371,True,Dark matter is a theoretical kind of matter.
7372,True,The Maze Runner earned over $348 million worldwide at the box office.
7373,False,Reanimation is not by Linkin Park.
7374,True,Jiang Wen is an actor.
7375,False,The Walking Dead (comic book) inspired a film.
7376,False,Konidela Production Company was disestablished by the son of Chiranjeevi.
7377,True,The SpongeBob SquarePants Movie stars Clancy Brown.
7378,True,Laura Robson won the Wimbledon Junior Girls' Championship at age 14.
7379,False,Sebastian Vettel works for Red Bull.
7380,True,Adam Lambert was the first openly gay artist to top the U.S. Billboard 200.
7381,True,"The Block (album) has a single, which was released on May 13, 2008."
7382,True,The Bengal tiger is from a region.
7383,True,"Emperor Norton is immortalized by authors from different countries including Sweden, America, and England."
7384,True,Stephenie Meyer created Edward Cullen.
7385,False,Tye Sheridan is a dancer.
7386,True,The MP for Maidenhead was once Theresa May.
7387,False,Petyr Baelish is not nicknamed Littlefinger.
7388,False,US Airways Flight 1549 landed in Boise.
7389,False,Elizabeth of York married the queen.
7390,True,"The End of Time is the Tenth Doctor's final adventure, terminating in his death."
7391,True,"South Island is referred to as the ""mainland"" by South Island residents and it is a cultured place."
7392,False,Buffy the Vampire Slayer is created by Joss Whedon in 1990.
7393,True,Elizabeth Olsen was born.
7394,False,"Uta Hagan passed away on June 12th, 1919."
7395,False,Trouble with the Curve stars a cat.
7396,False,The Danish language is spoken only outside of Sweden.
7397,False,"Pattern recognition systems are deleted from labeled ""training"" data."
7398,True,The Colbert Report was taped Monday.
7399,True,Japan consists of islands.
7400,True,The Beguiled had a script.
7401,False,The IPhone 4 is a dial telephone.
7402,False,Sausage Party is only a television show.
7403,False,Barcelona has a population of less than one million.
7404,False,Jarhead was based upon the 1957 autobiographical fiction novel On the Road.
7405,False,Port of Spain is devoid of retail and administration.
7406,False,Adidas only manufactures candy.
7407,False,Lorelai Gilmore's mother was played by Carrie Fisher.
7408,True,House of Balloons is a mixtape.
7409,True,"The electric chair is an optional form of execution in Alabama, Florida, South Carolina, and Virginia."
7410,True,Watchmen explores the superhero genre through a dark satirical and dystopian lens.
7411,False,Super Bowl XLV was the first time the Super Bowl was played in the Dallas-Fort Worth area and had the lowest recorded attendance of any Super Bowl up until that point.
7412,True,Rick Ross released Hood Billionaire.
7413,False,The Blue Dog Coalition came into existence in the year 2023.
7414,True,Hannah and Her Sisters is an American 1986 film.
7415,False,Floyd Mayweather Jr. has made 30 career music albums.
7416,True,Vedic Sanskrit is an ancient language dating at least as far back as the second millennium BCE.
7417,False,Charles de Gaulle lost all elections for President of the Fifth French Republic.
7418,False,Sky UK is a telecommunications magazine.
7419,False,Ronaldinho has played zero matches.
7420,False,Donna Noble is the therapist of the Doctor.
7421,False,The thought of a coup d'état was only floated in Cyprus.
7422,True,Gamal Abdel Nasser's funeral was in the capital of Egypt.
7423,True,Andrea Pirlo plays for the Italian national team.
7424,False,The Block (album) has only an unofficial single.
7425,True,Amancio Ortega owns a retail company.
7426,True,The Colbert Report has not been broadcast.
7427,True,Hermit crabs are crustaceans in the superfamily Paguroidea.
7428,True,Aphrodite is the daughter of a Titaness in Homer's Iliad.
7429,False,Weill Cornell Medicine has no history of being related to the field of education.
7430,False,Emilia Clarke is a car.
7431,True,Chris Bosh plays in the National Basketball Association as a professional basketball player.
7432,True,Manchester by the Sea has grossed money.
7433,False,"Watertown, Massachusetts is in Vermont."
7434,False,Google Search displays movie runtimes.
7435,False,Lyon is in Germany.
7436,True,Sweet Home Alabama is a song that Lynyrd Skynyrd wrote in reply to Neil Young's song Alabama.
7437,True,Kareem Abdul-Jabbar is ranked in rebounds.
7438,True,Milk is based on the life of a person.
7439,False,See.SZA.Run only incorporates archaic urban genres.
7440,True,Kate Walsh appeared on a television drama on ABC.
7441,False,You Only Live Twice was directed by a German man.
7442,False,Charles de Gaulle was an enemy of the  French Resistance.
7443,True,L. Ron Hubbard died in the 1980s.
7444,False,Keith Godchaux was a member of the Grateful Dead in 1999.
7445,True,"In 681 BCE, Sennacherib was assassinated."
7446,True,Chinatown's screenplay was by Robert Towne.
7447,True,Doxycycline may cause increased risk of sunburn in children.
7448,True,William Cohen is from Maine.
7449,True,Uta Hagan has a middle name.
7450,True,Finland is sometimes thought to be a part of Scandinavia.
7451,False,A near-Earth object is not a solar body.
7452,True,Cher was united in marriage to Sonny Bono.
7453,True,Ekta Kapoor worked on an Indian soap opera that premiered in 2000.
7454,True,Ukrainian Soviet Socialist Republic was a member of the UN.
7455,True,Touch My Body is a recorded work.
7456,True,The Fly is a film from the United States.
7457,True,A. P. J. Abdul Kalam was voted in as the Head of State of India.
7458,False,The SpongeBob SquarePants Movie stars a cat.
7459,True,The 66th Primetime Emmy Awards was hosted by the host of a show.
7460,True,Stomp the Yard stars an American actor born in 1982.
7461,False,The Burj Khalifa contains zero escalators.
7462,True,"In 2012, Simi Valley, California, reported a higher median household income than that of the nation overall."
7463,False,Louis Malle produced only German language films.
7464,True,One of the most notable features of Zoroastrianism is the belief and doctrine that is focused on the arrival of the messiah.
7465,False,The Nottingham Forest F.C. is barred from being a football club.
7466,False,Henry III assumed the throne when he was 2 years old.
7467,False,The Dodo has been depicted with orange plumage.
7468,True,Vedic Sanskrit is the language of the Vedic texts of Hinduism.
7469,True,Johnny Van Zant still performs with a band.
7470,True,Veep is a show on television.
7471,False,"Dan Brown died June 22, 1964."
7472,True,A Pet can give companionship to elderly adults.
7473,True,I Want to Know What Love Is is a song.
7474,True,Mom (TV series) has been nominated at an award show.
7475,False,The Woman in Black was abandoned by Hammer Film Productions in 2012 in favor of working on Freddie vs. Jason.
7476,False,Milk is a 2003 Dutch film.
7477,True,Anneliese van der Pol had an early career.
7478,True,Issa Rae appears in Awkward Black Girl.
7479,True,Maggie Q starred in a Die Hard movie.
7480,False,Vedic Sanskrit is an ancient writing system.
7481,True,House of Balloons is someone's first mixtape.
7482,False,The Silver Surfer is a dance move popular in East Asia.
7483,True,Certain chemicals induce neuromodulation.
7484,True,Eurotas (river) is one of Peloponnese's major rivers.
7485,True,A Drama Desk Award was given to Hair (musical) for best revival of a musical.
7486,True,Anne Boleyn returned to England.
7487,True,Dev Patel appeared in a movie.
7488,True,Sledgehammer was first performed live in Scotland.
7489,True,The cinematography of Far from the Madding Crowd was by at least one person.
7490,False,Mandy Moore did not have a career in music.
7491,False,Internet access requires the use of hardware like computer terminals.
7492,False,The Giver is only a book.
7493,False,Japan is represented by several localized governments.
7494,False,B. R. Ambedkar was an Indian social reform program.
7495,False,Norman Bates is from the novel Harry Potter.
7496,True,Brent Mydland was a member of the Grateful Dead.
7497,True,Sausage Party was directed by Greg Tiernan and Conrad Vernon.
7498,True,Team Fortress 2 development was led by John Cook.
7499,True,Ed Gein had exhumed corpses.
7500,False,Estelle Getty was solely Japanese.
7501,True,"Kenny Chesney was born on March 26th, 1968."
7502,True,Augutus Prew's mother was a clothing designer.
7503,True,There have been at least 29 Africa Cup of Nations.
7504,False,Action films are a subgenre of martial arts films.
7505,False,"Matthew Vaughn was born on May 9th, 1977."
7506,False,The Office (US) was filmed in front of a live audience.
7507,False,Unison (Celine Dion album) was originally released in May 1990.
7508,True,Foot Locker is a retailer from the United States.
7509,False,Practical Magic is based on a novel that was written by Waluigi.
7510,True,Absinthe is banned in some countries.
7511,True,Minor League Baseball is a hierarchy of leagues.
7512,True,Oscar Isaac played a fictional character.
7513,False,Research is incapable of testing the validity of instruments.
7514,True,Kajol is a civilian woman.
7515,True,Netscape Navigator is unable to access the internet.
7516,False,Food Network is unavailable in the United States.
7517,False,Baadshah was only dubbed into French.
7518,False,Color of Night did horribly in box office ratings.
7519,True,Prince Charles and Lady Diana were married in July 1981.
7520,False,Brown University's main campus is located in the second largest city in New England.
7521,True,Leslie Alexander is a former bond trader.
7522,False,"Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas."
7523,False,"Pierce County, Washington is the location of the highest mountain of the Blue Mountains of the Pacific Northwest."
7524,False,A Pet can only supply physical interaction.
7525,False,Bank of America only provides products.
7526,False,Henry Cavill is not a famous actor.
7527,True,The New England Patriots got to seven Super Bowls.
7528,False,Trouble with the Curve was directed by a squid.
7529,False,Gaius Julius Caesar died in Spain.
7530,False,The Paper stars Michael Keaton and Tom Cruise.
7531,False,Augustus Prew's mother was always unemployed.
7532,False,"Foot Locker's headquarters are in Mobile, Alabama."
7533,False,Amy Winehouse did not die of alcohol poisoning.
7534,False,Yugoslavia failed to exist during most of the 20th century.
7535,False,Sarah Hyland attended a public school in Chinatown.
7536,True,Richard Fortus is a guitarist of Guns N' Roses.
7537,True,"The Stanford prison experiment was financed by a group that coordinates, executes, and advocates the science and technology programs of the U.S. Navy and Marine Corps."
7538,False,Barbarella is based on a comic by Gene Luen Yang.
7539,True,Google Search can find stock quotes.
7540,True,Kyle Maclachlan has been nominated for an Emmy award because of a television series called Twin Peaks.
7541,False,Moesia excluded Romanian Dobrudja.
7542,True,Camp Flog Gnaw is an event.
7543,False,Fidaa is in an Iranian language.
7544,False,Zoroastrianism has no major features.
7545,False,Shomu Mukherjee died of a heart attack in November.
7546,True,Numenius of Apamea was a Greek philosopher who lived in Syria.
7547,False,The Beverly Hillbillies had ten seasons.
7548,True,The Battle of the Trebia took place in the province of Piacenza.
7549,False,Sweet Home Alabama is an epic novel that was written in reply to two songs from Neil Young's album Harvest.
7550,True,Louis Malle worked in a French industry.
7551,True,Gotham got its premiere on Fox.
7552,True,Leslie Alexander owns a team in the NBA.
7553,True,The Independent Spirit Awards are held the day before the Academy Awards in Santa Monica.
7554,False,James Brolin has never appeared in a sitcom.
7555,False,Randy Jackson turned down working as a judge for American Idol (season 8).
7556,False,Samsung entered the construction and shipbuilding industries in the mid-1950s.
7557,True,Freddie Highmore starred in a television series.
7558,False,Sean Gunn has no experience acting.
7559,False,Norman Bates is a character exclusively from film.
7560,False,The American Civil War ended in 1862.
7561,False,The Tenth Doctor makes his penultimate appearance in Journey's End.
7562,True,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership."""
7563,False,B. R. Ambedkar spent his whole life in Portugal.
7564,False,Gotham premiered in 2015.
7565,False,Heaven Can Wait came out before Here Comes Mr. Jordan.
7566,False,Two and a Half Men season is incapable of being aired.
7567,True,Bank of America has machines.
7568,False,See You on the Other Side was put out by Korn in 2002.
7569,True,Tennessee was the last state to join the Confederacy.
7570,True,Resident Evil is a film.
7571,True,Kate Walsh was on a sitcom.
7572,True,Jimi Hendrix was a person.
7573,False,Matthew Vaughn was renamed Matthew Allard Robert Vaughn.
7574,True,Times Higher Education World University Rankings is released yearly.
7575,False,Manchester United F.C. was the world's highest-earning tennis club for a season.
7576,False,Trouble with the Curve is only a podcast.
7577,False,"Michael Hutchence died on November 12th, 1997."
7578,True,"Mamata Banerjee was born on January 5th, 1955."
7579,True,The Invisible Man was based on a H. G. Wells novel.
7580,True,Hammer Film Productions has worked on horror movies.
7581,False,LinkedIn has yet to be made available in the Turkish language.
7582,False,Kenny Chesney's full name is Kenny Clark Chesney.
7583,True,Ronaldinho has scored 33 goals for the Brazil national football team in the past decade.
7584,False,Jason Bourne is a famous army general.
7585,False,Raja Hindustani was directed by 5 directors each from a different region of India.
7586,True,Solanum contains flora that have fruit.
7587,False,The Independent Spirit Awards are held the day before the Golden Globe Awards.
7588,True,John S. McCain Jr. went to school.
7589,False,Vic Mensa has never been to Illinois.
7590,False,The soundtrack of Far from the Madding Crowd was only by George Clooney.
7591,True,Salman Rushdie won a literary prize.
7592,True,The Icelandic Coast Guard is responsible for something.
7593,True,Adidas is German.
7594,True,"From 1997 until the 1999-2000 season, Chris Mullin played with the Indiana Pacers."
7595,True,Land plants are multicellular organisms.
7596,False,Robert Singer (producer) is incapable of writing.
7597,True,Revolver has topped multiple charts.
7598,True,Pitch Perfect 2 centers on a fictional educational institution.
7599,False,Rebel in the Rye only aired in 2005.
7600,False,Tangled was a direct-to-video film.
7601,True,Nymphomaniac (film) is part of a trilogy.
7602,False,No Strings Attached only ever came out in 2007.
7603,False,See You on the Other Side was certified mildew in the US in January 2006.
7604,False,Alvin and the Chipmunks is a Chinese film.
7605,True,The Indian National Congress was founded during the British Raj.
7606,True,Benjamin Walker (actor) is a stand up performer.
7607,False,The Challenge XXX: Dirty 30 is a season in America's Next Top Model.
7608,True,A Good Day to Die Hard was directed by John Moore.
7609,True,Hollow Man has a sequel called Hollow Man 2 released in 2006.
7610,True,Edouard Seguin worked in a place.
7611,True,American Library Association is old.
7612,True,"Sonny Bono, whose full name is Salvatore Phillip Bono, was born on February 16, 1935."
7613,False,The ovary is found in the legs.
7614,True,Brian De Palma is a Westerner.
7615,True,Becoming chief justice was William Howard Taft's personal ambition.
7616,True,Netscape Navigator was a web browser.
7617,True,The Nobel Prize in Chemistry was given to a human from Holland.
7618,False,Hermit crabs are chilopods.
7619,True,Akon has had more than ten songs certified as 1 × platinum.
7620,False,Sarah Hyland is from Mars.
7621,False,Jerome Flynn is exclusively an American.
7622,False,Shut Up debuted at number 71.
7623,True,Automated teller machines are part of Bank of America.
7624,False,Matthew Vaughn is incapable of being a film producer and director.
7625,False,Tyler Perry is incapable of songwriting.
7626,False,Michael Hutchence has yet to die.
7627,False,Heath Ledger did not direct music videos.
7628,False,Simon Cowell has donated zero dollars to anything ever.
7629,False,Salt River Valley is on the Mississippi River.
7630,False,A Good Day to Die Hard was directed by John Moore in 2008.
7631,True,Multiple personality disorder is another name for Dissociative identity disorder.
7632,False,Ice-T signed to Motown Records in 1987.
7633,False,One Flew Over the Cuckoo's Nest only won one Academy Award.
7634,True,Virginia transitioned from an agricultural to industrial economy during the Civil War.
7635,False,Personality is unaffected by the development of values.
7636,False,Yugoslavia failed to be a country.
7637,True,Pearl (Steven Universe) is a fictional alien being.
7638,False,See.SZA.Run is a picture book.
7639,False,Trouble with the Curve was only released in 2013.
7640,True,Mike Friedrich is a comic book writer.
7641,False,Google Search shows no home information.
7642,True,"For two hundred and nineteen years, The Times printed in broadsheet format."
7643,True,Arjit Singh is male.
7644,False,Jed Whedon was born in December.
7645,False,Ares is not an Olympian.
7646,False,Michael Hutchence has yet to die.
7647,True,L. Ron Hubbard passed away in 1986.
7648,True,The Suite Life of Zack & Cody was created by Danny Kallis.
7649,True,There was a republic of the Soviet Union called the Latvian Soviet Socialist Republic.
7650,False,Ragtime was released in 1965.
7651,True,Anne Boleyn went back to England.
7652,True,Google Search can return monetary conversions.
7653,True,The House of the Spirits is about the life of a young lady during the military dictatorship in Chile.
7654,False,Goldie Hawn was in one movie with Chevy Chase.
7655,True,The Love Club EP is too short to qualify as an album.
7656,False,A United Kingdom is unassociated with Amma Asante.
7657,True,Move (Little Mix song) was released on the radio in September of 2013.
7658,True,"In the British Virgin Islands and Turks and Caicos Islands, the United States dollar is the sole currency."
7659,False,Ian Gillan is a dog.
7660,True,Qin dynasty dates back to 221 BC.
7661,True,Fiji Hindi has been subject to impact by Magahi and other Bihari languages.
7662,True,A United Kingdom is a biographical romantic comedy film.
7663,True,Pitch Perfect 2 is a recorded work.
7664,True,Norman Bates is a character.
7665,False,Dulquer Salmaan refused to ever become an actor.
7666,False,Times Higher Education World University Rankings is a publication of rankings by The Chronicle of Higher Education.
7667,False,The SpongeBob SquarePants Movie is a dog.
7668,True,Daredevil is based on the Marvel Comics character of the same name.
7669,True,Chinatown was written by Robert Towne.
7670,False,Toy Story 2 was released in 2004.
7671,False,FC Bayern Munich was founded by only one football player.
7672,False,SpongeBob SquarePants is a movie.
7673,True,Call centers are part of Bank of America.
7674,True,"In 1966, George Harrison got married for the first time."
7675,False,Coughing up blood is not one symptom of pulmonary embolism.
7676,False,Georgians arose from the ancient literary works.
7677,False,Ayananka Bose is Canadian.
7678,False,Mandy Moore is a Canadian film actress.
7679,False,House of Balloons is something other than a mixtape.
7680,False,Jamie Lee Curtis only starred in Rob Zombie's Halloween.
7681,False,The Latvian Soviet Socialist Republic was a state of the Soviet Union.
7682,True,Deepika Padukone has appeared in more than three Indian movies.
7683,False,The English Wikipedia is an edition of an expensive online encyclopedia.
7684,True,Designated Survivor (TV series) is part of ABC.
7685,True,Shane Black directed The Nice Guys.
7686,False,Zac Efron only acts.
7687,True,Some level of success is had by Scream.
7688,False,Nobody took Hebe's job after her.
7689,True,Syco was established by Simon Cowell.
7690,False,The Pakistan Movement was only the result of enemy invasion.
7691,False,LinkedIn has been available in the Turkish language since July 2015.
7692,True,Spider-Man 2 was released in 2004.
7693,True,Kenny Chesney is American.
7694,True,Two and a Half Men featured Charlie Sheen.
7695,True,Caesar is an adaptation of Shakespeare's Julius Caesar.
7696,False,Augustus Prew's dad was incapable of taking photographs.
7697,False,Species distribution can be understood through many factors except continental drift.
7698,True,The Latvian Soviet Socialist Republic is known by at least one other name.
7699,True,Tennessee is in America.
7700,False,Prague's historic center is not on UNESCO's list of World Heritage Sites.
7701,True,Vedic Sanskrit is a language of ancient times.
7702,False,Carol Danvers is a fictional setting.
7703,True,A thunderstorm is a type of weather.
7704,True,The University of Leicester discovered and identified the remains of a king.
7705,False,The IPhone 4 is only a computer.
7706,False,GLOW has one episode.
7707,True,Milk is based on a gay rights activist's life.
7708,True,Zac Efron is a citizen.
7709,False,Fringe concluded in 2011.
7710,False,Woodrow Wilson did not live in part of the 20th century.
7711,True,The Beverly Hillbillies ranked as the number one series of the year.
7712,True,Toy Story 2 first aired in theaters in 1999.
7713,True,The Burj Khalifa is a tall building with multiple floors.
7714,True,Hinduism has a cosmological view of the universe.
7715,False,Netscape Navigator was succeeded by the honeymoon suite.
7716,False,Salt River Valley is on the Utah-Arizona border.
7717,False,Jeb Bush is the younger brother of Ronald Reagan.
7718,False,Grease did not come out in 1978.
7719,True,Ed and Lorraine Warren were pseudoscience believers.
7720,True,"UNESCO's City of Literature program aims to advocate for the social, economic and cultural development of cities in both the developed and the developing world."
7721,True,Unison (Celine Dion album) was originally released in 1990.
7722,False,The United States dollar is not exclusively used in the United States.
7723,True,American Idol (season 8) was moderated by Ryan Seacrest.
7724,False,The Indian National Congress was founded in England.
7725,False,The Paper was only released in 1894.
7726,False,David Attenborough served as director of BBC Two.
7727,False,"On June 14th, 2009, The Last Song (film) began filming."
7728,False,Psych (season 2) originally aired in the United Kingdom.
7729,True,Andrea Pirlo is an Italian.
7730,False,Dan Trachtenberg is a Canadian.
7731,True,The world's second largest economy by GDP is China.
7732,True,"Phoenix, Arizona is a capital."
7733,True,Project Y's goal was to invent the first nukes.
7734,False,Temple Grandin was directed by Mick Jackson in 2008.
7735,False,A near-Earth object is not a small orbiting body.
7736,False,Dawood Ibrahim was born in 1988.
7737,True,Adam Lambert was the first openly gay artist to top the album charts.
7738,False,Honeymoon is the second major-label record by Lana Del Rey.
7739,False,Brie Larson and Destin Daniel refused to ever work with each other.
7740,True,Nicolas Roeg did the cinematography of Far from the Madding Crowd.
7741,True,Aldous Huxley published writings.
7742,True,Bala has received recognition for his work in film.
7743,True,Andrew Carnegie has a 1889 article proclaiming ``The Gospel of Wealth''.
7744,True,Cars 3 will be directed by Pixar employee
7745,True,Paris saw the Warcraft movie before America.
7746,True,William Cohen is a politician.
7747,True,Kung Fu Panda made $60.2 million during its opening weekend.
7748,True,Yin and yang demonstrate a balance between opposed entities.
7749,False,Grease did not have a soundtrack.
7750,False,The only woman to compete in the Baja 1000 was Danica Patrick.
7751,True,Catherine Hardwicke has done design work.
7752,True,"In the highest-grossing Superman film of all time, Henry Cavill played the superhero."
7753,True,The Pakistan Movement was the result of a series of transformations in Pakistan.
7754,False,Charles de Gaulle was Prime Minister of the Fifth French Republic.
7755,True,Lorelai Gilmore is related to a character played by Edward Herrmann.
7756,True,Augutus Prew's mother was a fashion designer.
7757,True,Paula Abdul was an American Idol (season 8) judge.
7758,False,Caesar is a 1937 adaptation of The Tempest.
7759,True,The Danish language is spoken in North America.
7760,False,Planet Hollywood Las Vegas is operated by all entities except Caesars Entertainment Corporation.
7761,False,The Cyclades are in the Red Sea.
7762,False,Andrew Carnegie has a 1889 award.
7763,False,Atlanta metropolitan area had a population of 5.5 million people.
7764,False,Balibo (film) involves zero journalist.
7765,False,Edward Cullen was created outside of Stephenie Meyer's work.
7766,True,"Pattern recognition systems are trained from labeled ""training"" data."
7767,True,Key & Peele has won a Peabody Award.
7768,True,"The Church of Jesus Christ of Latter-day Saints has laws on chastity, health, and fasting."
7769,True,Two and a Half Men is an US television sitcom.
7770,True,The Africa Cup of Nations is a football tournament.
7771,False,Yvonne Strahovski is a Latvian actress.
7772,False,Louie (season 1) was created by David Benioff.
7773,True,The Beverly Hillbillies is a show that lost the opportunity to appear on television.
7774,True,Personality is affected by the development of social relationships.
7775,False,Bonaire was excluded from the Netherlands Antilles until the country's dissolution.
7776,True,Eurotas (river) is one of the rivers of Greece.
7777,False,Alan White has no experience as an Ambassador.
7778,False,Zoey Deutch did not portray Rosemarie Hathaway in Vampire Academy.
7779,True,Richard Dawson was a game show host in the United States.
7780,True,Ed and Lorraine Warren were Roman Catholic.
7781,False,"Scandinavia does not include the three kingdoms of Denmark, Norway, and Sweden."
7782,False,Telephone consists of only verse-refrain.
7783,True,Great white sharks have never killed people.
7784,False,Uta Hagan is incapable of having a middle name.
7785,True,Lois Lane's name was taken from Lola Lane's name.
7786,True,Port of Spain is a city.
7787,True,A United Kingdom is a film.
7788,True,The Burj Khalifa is in Asia.
7789,False,Catherine Keener was only a television actress.
7790,False,Argentina's federal capital is not Buenos Aires.
7791,True,"University of Chicago Law School is ranked second by Brain Leiter on the 2015 list of ""Top 15 Schools From Which the Most `Prestigious' Law Firms Hire New Lawyers."""
7792,True,Andrew Moray led an uprising against occupation in 1297.
7793,True,MS-13 is a thing.
7794,False,The Indian National Congress was founded in China.
7795,True,Sean Gunn is best known for his role as Kirk Gleason on Gilmore Girls.
7796,True,Natasha Lyonne also goes by the name Natasha Bianca Lyonne Braunstein.
7797,True,Foot Locker operates in 28 countries worldwide.
7798,True,Menace II Society is set in the 1990s.
7799,True,Serotonin causes neuromodulation.
7800,False,The Hit is a painting.
7801,True,Jonah Hill is a screenplay writer.
7802,False,Sands Hotel and Casino started as a casino.
7803,False,Jenny McCarthy did not begin her career in 1993.
7804,True,"Phoenix, Arizona is a U.S. state."
